timestamp,metric,value,baseline
2026-09-24T14:00:00Z,checkout_conversion,3.400,3.40
2026-09-24T14:00:00Z,purchase_revenue,4800,4800
2026-09-24T14:00:00Z,sessions,21000,21000
2026-09-24T14:30:00Z,checkout_conversion,3.412,3.40
2026-09-24T14:30:00Z,purchase_revenue,4818,4800
2026-09-24T14:30:00Z,sessions,21108,21000
2026-09-24T15:00:00Z,checkout_conversion,3.392,3.40
2026-09-24T15:00:00Z,purchase_revenue,4788,4800
2026-09-24T15:00:00Z,sessions,20928,21000
2026-09-24T15:30:00Z,checkout_conversion,3.405,3.40
2026-09-24T15:30:00Z,purchase_revenue,4808,4800
2026-09-24T15:30:00Z,sessions,21045,21000
2026-09-24T16:00:00Z,checkout_conversion,3.389,3.40
2026-09-24T16:00:00Z,purchase_revenue,4784,4800
2026-09-24T16:00:00Z,sessions,20901,21000
2026-09-24T16:30:00Z,checkout_conversion,3.409,3.40
2026-09-24T16:30:00Z,purchase_revenue,4814,4800
2026-09-24T16:30:00Z,sessions,21081,21000
2026-09-24T17:00:00Z,checkout_conversion,3.396,3.40
2026-09-24T17:00:00Z,purchase_revenue,4794,4800
2026-09-24T17:00:00Z,sessions,20964,21000
2026-09-24T17:30:00Z,checkout_conversion,3.407,3.40
2026-09-24T17:30:00Z,purchase_revenue,4810,4800
2026-09-24T17:30:00Z,sessions,21063,21000
2026-09-24T18:00:00Z,checkout_conversion,3.394,3.40
2026-09-24T18:00:00Z,purchase_revenue,4791,4800
2026-09-24T18:00:00Z,sessions,20946,21000
2026-09-24T18:30:00Z,checkout_conversion,3.410,3.40
2026-09-24T18:30:00Z,purchase_revenue,4815,4800
2026-09-24T18:30:00Z,sessions,21090,21000
2026-09-24T19:00:00Z,checkout_conversion,2.785,3.40
2026-09-24T19:00:00Z,purchase_revenue,4016,4800
2026-09-24T19:00:00Z,sessions,20919,21000
2026-09-24T19:30:00Z,checkout_conversion,2.792,3.40
2026-09-24T19:30:00Z,purchase_revenue,4034,4800
2026-09-24T19:30:00Z,sessions,21027,21000
2026-09-24T20:00:00Z,checkout_conversion,2.790,3.40
2026-09-24T20:00:00Z,purchase_revenue,4030,4800
2026-09-24T20:00:00Z,sessions,21000,21000
2026-09-24T20:30:00Z,checkout_conversion,2.796,3.40
2026-09-24T20:30:00Z,purchase_revenue,4048,4800
2026-09-24T20:30:00Z,sessions,21108,21000
2026-09-24T21:00:00Z,checkout_conversion,2.786,3.40
2026-09-24T21:00:00Z,purchase_revenue,4018,4800
2026-09-24T21:00:00Z,sessions,20928,21000
2026-09-24T21:30:00Z,checkout_conversion,2.792,3.40
2026-09-24T21:30:00Z,purchase_revenue,4038,4800
2026-09-24T21:30:00Z,sessions,21045,21000
2026-09-24T22:00:00Z,checkout_conversion,2.784,3.40
2026-09-24T22:00:00Z,purchase_revenue,4014,4800
2026-09-24T22:00:00Z,sessions,20901,21000
2026-09-24T22:30:00Z,checkout_conversion,2.795,3.40
2026-09-24T22:30:00Z,purchase_revenue,4044,4800
2026-09-24T22:30:00Z,sessions,21081,21000
2026-09-24T23:00:00Z,checkout_conversion,2.788,3.40
2026-09-24T23:00:00Z,purchase_revenue,4024,4800
2026-09-24T23:00:00Z,sessions,20964,21000
2026-09-24T23:30:00Z,checkout_conversion,2.793,3.40
2026-09-24T23:30:00Z,purchase_revenue,4040,4800
2026-09-24T23:30:00Z,sessions,21063,21000
2026-09-25T00:00:00Z,checkout_conversion,2.787,3.40
2026-09-25T00:00:00Z,purchase_revenue,4021,4800
2026-09-25T00:00:00Z,sessions,20946,21000
2026-09-25T00:30:00Z,checkout_conversion,2.795,3.40
2026-09-25T00:30:00Z,purchase_revenue,4045,4800
2026-09-25T00:30:00Z,sessions,21090,21000
2026-09-25T01:00:00Z,checkout_conversion,2.785,3.40
2026-09-25T01:00:00Z,purchase_revenue,4016,4800
2026-09-25T01:00:00Z,sessions,20919,21000
2026-09-25T01:30:00Z,checkout_conversion,2.792,3.40
2026-09-25T01:30:00Z,purchase_revenue,4034,4800
2026-09-25T01:30:00Z,sessions,21027,21000
2026-09-25T02:00:00Z,checkout_conversion,2.790,3.40
2026-09-25T02:00:00Z,purchase_revenue,4030,4800
2026-09-25T02:00:00Z,sessions,21000,21000
